bin    Ex    Popul.    J= 0.0    J= 1.0    J= 2.0    J= 3.0    J= 4.0    J= 5.0    J= 6.0    J= 7.0    J= 8.0    J= 9.0

61 4.6500515 10.0 0.0932941165617 0.274730041468 0.441180371632 0.584165815555 0.697273516445 0.776616383548 0.820996031711 0.831770374268 0.812467941518 0.768221888326 0.70511308668 0.629512504374 0.547500120415 0.464415065991 0.38456477352 0.311094836195 0.246000106643 0.19024370148 0.143944638953 0.106595911092 0.0772809770743 0.0548656656078 0.0381521309429
62 4.7500515 10.0 0.0923664770127 0.272050692518 0.437045837992 0.579025419086 0.691669946662 0.771116666899 0.816123657915 0.827948428401 0.809980497298 0.767197284504 0.705528834531 0.631218222352 0.550252622326 0.4679188043 0.388511211648 0.315195695357 0.250011364849 0.193979253835 0.147280277855 0.109465511357 0.0796673908356 0.0567888963519 0.0396570061156
63 4.8500515 10.0 0.0914685093258 0.269456111215 0.433039139097 0.574038117207 0.686224038491 0.765758826423 0.811360327338 0.824191149798 0.807508425234 0.766140422316 0.705871889623 0.632821792462 0.552886236806 0.471299409916 0.39234098032 0.319194275217 0.253939491807 0.197652557726 0.150573792181 0.112310593578 0.0820433915834 0.058712019496 0.0411685028418
64 4.9500515 10.0 0.0905987031758 0.266942022893 0.429153955121 0.569196588994 0.680928643494 0.760536979114 0.806702253337 0.820497298788 0.805053065447 0.765054878697 0.706147450321 0.634329282994 0.555407152531 0.474562557862 0.396058794784 0.323094099221 0.257786786436 0.201264810431 0.153825498427 0.115130854469 0.0844083095667 0.0606342120387 0.0426858018555
65 5.0500515 10.0 0.0897556532756 0.26450444777 0.425384394647 0.564493995079 0.675777060255 0.75544557688 0.80214581876 0.816865618726 0.802615566498 0.763943903231 0.706360307024 0.635746333065 0.557821160466 0.47771359517 0.399669132387 0.326898546098 0.261555485536 0.204817210679 0.157035755959 0.117926054195 0.0867615424167 0.0625547110744 0.0442081308068
66 5.1500515 10.0 0.0889380501543 0.262139675241 0.421724957892 0.55992393744 0.670762998805 0.750479382411 0.797687567465 0.813294844109 0.800196907952 0.762810450699 0.706514879128 0.637078188547 0.560133684453 0.480757563523 0.403176246484 0.330610855777 0.2652477635 0.208310954343 0.160204960823 0.120696009992 0.0891025496894 0.0644728097895 0.0457347617841
67 5.2500515 10.0 0.08814467191 0.259844240871 0.418170503755 0.555480423242 0.665880548478 0.745633447143 0.793324196203 0.809783707328 0.797797920161 0.76165721 0.706615248147 0.638329734519 0.562349809072 0.483699220093 0.406584179466 0.334234135196 0.26886573242 0.211747230803 0.163333540266 0.123440590406 0.0914308478526 0.066387853722 0.0472650089461
68 5.3500515 10.0 0.0873743768142 0.257614905756 0.414716220187 0.551157832261 0.6611241488 0.740903091105 0.789052546881 0.806330944252 0.795419301638 0.760486629894 0.706665187442 0.639505524602 0.564474305034 0.486543056764 0.409896774983 0.337771363977 0.272411442536 0.21512721989 0.166421947895 0.126159710079 0.0937460056783 0.0682992372674 0.048798226263
69 5.4500515 10.0 0.0866260966688 0.25544863796 0.411357597522 0.546950887467 0.656488563088 0.736283884449 0.784869599179 0.802935298844 0.793061634347 0.759300941959 0.706668188947 0.640609807538 0.566511652372 0.489293317839 0.41311768939 0.34122539994 0.275886882949 0.218452089321 0.16947065939 0.128853325037 0.0960476400105 0.0702064004175 0.0503338053649
70 5.5500515 10.0 0.0858988308239 0.253342595794 0.408090404411 0.542854628416 0.651968854457 0.731771630516 0.780772463549 0.799595526944 0.79072539717 0.758102181099 0.706627487247 0.64164655129 0.568466061634 0.491954016402 0.416250402477 0.34459898444 0.279293982543 0.221722992568 0.172480168709 0.131521428425 0.0983354118731 0.0721088257159 0.0518711734969
